"";"DAS";"ASW1";"ASW2";"ASW3";"Tot.ASW";"Root.depth";"PS1";"PS2";"PS3";"Pot.Supply"
"1";30;40;30;30;100;600;1,91970523224858;1,43977892418644;0;3,35948415643502
"2";31;38,0802947677514;28,5602210758136;30;96,640515843565;620;1,82757352778052;1,37068014583539;0,0959852616124292;3,29423893522834
"3";32;36,2527212399709;27,1895409299782;29,9040147383876;93,3462769083366;640;1,73986346619054;1,3048975996429;0,191356311861738;3,23611737769518
"4";33;35,3976648072456;26,5482486054342;29,8099726203826;91,7558860330624;660;1,69882705849627;1,2741202938722;0,286131802062678;3,25907915443115
"5";34;33,6988377487493;25,274128311562;29,52384081832;88,4968068786313;680;1,61729587867425;1,21297190900569;0,377847144633354;3,2081149323133
"6";35;32,0815418700751;24,0611564025563;29,1459936736866;85,288691946318;700;1,53967759466463;1,15475819599847;0,466264304620502;3,1607000952836
"7";36;30,5418642754104;22,9063982065578;28,6797293690661;82,1279918510344;720;1,46578441630329;1,09933831222747;0,550566265292696;3,11568899382345
"8";37;29,0760798591071;21,8070598943304;28,1291631037734;79,0123028572109;740;1,39543756597014;1,04657817447761;0,629996518539356;3,0720122589871
"9";38;27,680642293137;20,7604817198528;27,4991665852341;75,9402905982238;760;1,32846684605341;0,99635013454006;0,703870586348656;3,02868756694213
"10";39;26,3521754470836;19,7641315853127;26,7952959988854;72,9116030312817;780;1,26471022717248;0,948532670379357;0,771586048930647;2,98482894648248
"11";40;25,7785783953279;19,3339337964959;26,4453506332723;71,5578628250962;800;1,23718179563603;0,927886346727023;0,846121299655688;3,01118944201874
"12";41;24,5413965996919;18,4060474497689;25,5992293336166;68,5466733830774;820;1,1778061864779;0,883354639858426;0,900954532376714;2,96211535871304
"13";42;23,363590413214;17,5226928099105;24,6982748012399;65,5845580243644;840;1,12128016900899;0,840960126756744;0,948268147269073;2,91050844303481
"14";43;22,8682568809876;17,1511926607407;24,2793705667169;64,2988201084452;860;1,09750780967091;0,823130857253185;1,00986675210696;2,93050541903106
"15";44;21,7707490713167;16,3280618034875;23,26950381461;61,3683146894142;880;1,04483552255444;0,78362664191583;1,04231372524382;2,87077588971409
"16";45;20,7259135487622;15,5444351615717;22,2271900893662;58,4975387997001;900;0,994691117067267;0,74601833780045;1,0667413278185;2,80745078268622
"17";46;19,731222431695;14,7984168237712;21,1604487615476;55,6900880170139;900;0,946953273519637;0,710214955139727;1,01554560510678;2,67271383376614
"18";47;18,7842691581753;14,0882018686315;20,1449031564409;53,0173741832477;900;0,901506494672872;0,676129871004654;0,966806899814014;2,54444326549154
"19";48;17,8827626635025;13,4120719976268;19,1780962566269;50,4729309177562;900;0,858240826304633;0,643680619728474;0,920407293210339;2,42232873924345
"20";49;17,0245218371978;12,7683913778984;18,2576889634165;48,0506021785127;900;0,817051591184974;0,61278869338873;0,876234525795948;2,30607481036965
"21";50;16,2074702460129;12,1556026845096;17,3814544376206;45,7445273681431;900;0,777839135819603;0,583379351864702;0,834181725699764;2,19540021338407
"22";51;15,4296311101933;11,5722233326449;16,5472727119208;43,549127154759;900;0,740508589347588;0,555381442010691;0,794147150112965;2,09003718147124
"23";52;14,6891225208457;11,0168418906342;15,7531255618078;41,4590899732878;900;0,704969634010198;0,528727225507649;0,756033939131786;1,98973079864963
"24";53;13,9841528868355;10,4881146651266;14,9970916226761;39,4693591746381;900;0,671136286635555;0,503352214976666;0,719749881414066;1,89423838302629
"25";54;13,3130166001999;9,98476245014994;14,277341741262;37,5751207916118;900;0,638926690610401;0,4791950179578;0,685207191082544;1,80332889965074
"26";55;12,6740899095895;9,50556743219213;13,5921345501794;35,7717918919611;900;0,608262917835699;0,456197188376774;0,652322295335156;1,71678240154763
"27";56;12,0658269917538;9,04937024381536;12,9398122548443;34,0550094904135;900;0,5790707801869;0,434303085140175;0,621015632248473;1,63438949757555
"28";57;11,4867562115669;8,61506715867518;12,3187966225958;32,4206199928379;900;0,551279650022723;0,413459737517042;0,591211458285084;1,55595084582485
"29";58;10,9354765615442;8,20160742115814;11,7275851643107;30,8646691470131;900;0,524822289308204;0,393616716981152;0,562837665039205;1,48127667132856
"30";59;10,410654272236;7,80799070417699;11,1647474992715;29,3833924756845;900;0,499634686938563;0,374726015203922;0,535825604777146;1,41018630691963
"31";60;9,91101958529743;7,43326468897307;10,6289218944944;27,9732061687649;900;0,475655903870341;0,356741927902756;0,51010992435056;1,34250775612366
