"";"LAI";"LI";"Pot.Demand";"S.D";"LeafExpEffect";"Delta.LAI";"Transpiration";"Sum.Water.Use";"Bio.Water";"Bio.Light";"Delta.Biomass";"Sum.Biomass"
"1";1,5;0,490843579392451;5,24837411026548;0,110742207228808;0;0;0,581216533333333;0,581216533333333;2,34822677987558;21,2044426297539;2,34822677987558;47,3482267798756
"2";1,5;0,490843579392451;4,76553709301362;0,120190275658021;0;0;0,572771216867833;1,15398775020117;2,54856780484482;21,2044426297539;2,54856780484482;49,8967945847204
"3";1,5;0,490843579392451;1,56666069207385;0,360287723561969;0;0;0,564448614341307;1,71843636454247;3,96132611491265;10,9948961783909;3,96132611491265;53,858120699633
"4";1,5;0,490843579392451;3,35049842874444;0,166019162372193;0;0;0,556246942669501;2,27468330721197;3,12919449240974;18,8483934486701;3,12919449240974;56,9873151920428
"5";1,5;0,490843579392451;3,17173360730327;0,172828021689747;0;0;0,54816444467711;2,82284775188908;3,12180011210683;18,0630437216422;3,12180011210683;60,1091153041496
"6";1,5;0,490843579392451;3,60722006528269;0,149755040985829;0;0;0,540199388721314;3,3630471406104;2,4698116917448;16,4923442675863;2,4698116917448;62,5789269958944
"7";1,5;0,490843579392451;3,85953521327672;0,137931133906877;0;0;0,532350068320779;3,89539720893118;2,49145610233561;18,0630437216422;2,49145610233561;65,07038309823
"8";1,5;0,490843579392451;5,41922967387405;0,0968061575834667;0;0;0,52461480179005;4,42001201072123;1,90066723581994;19,633743175698;1,90066723581994;66,9710503340499
"9";1,5;0,490843579392451;3,26456401535675;0,158364770746503;0;0;0,516991931879256;4,93700394260048;2,1143194011023;13,3509453594747;2,1143194011023;69,0853697351522
"10";1,5;0,490843579392451;1,19504579061647;0,42632661394191;0;0;0,509479825419052;5,44648376801954;4,68741685837624;10,9948961783909;4,68741685837624;73,7727865935285
"11";1,5;0,490843579392451;3,30211343186466;0,152047130824093;0;0;0,502076872970719;5,94856064099025;3,10466448989007;20,419092902726;3,10466448989007;76,8774510834185
"12";1,5;0,490843579392451;3,99104202355477;0,123973008943827;0;0;0,494781488481347;6,4433421294716;2,53141638705449;20,419092902726;2,53141638705449;79,408867470473
"13";1,5;0,490843579392451;1,08208278455266;0,450605180957206;0;0;0,487592108944031;6,93093423841563;3,53882655862109;7,85349727027921;3,53882655862109;82,9476940290941
"14";1,5;0,490843579392451;4,38064879299927;0,109688591066899;0;0;0,480507194063002;7,41144143247863;2,23974153136413;20,419092902726;2,23974153136413;85,1874355604583
"15";1,5;0,490843579392451;4,60578108788745;0,102811057861376;0;0;0,473525225923627;7,88496665840226;2,4222790868065;23,5604918108376;2,4222790868065;87,6097146472648
"16";1,5;0,490843579392451;4,07945969134232;0,114388851459309;0;0;0,466644708667196;8,35161136706946;2,42555183825236;21,2044426297539;2,42555183825236;90,0352664855171
"17";1,5;0,490843579392451;3,75436293570462;0,122487936314591;0;0;0,459864168170449;8,81147553523991;2,5972884184197;21,2044426297539;2,5972884184197;92,6325549039368
"18";1,5;0,490843579392451;5,82829913542437;0,0777554722569582;0;0;0,453182151729743;9,26465768696965;1,77089192844595;22,7751420838097;1,77089192844595;94,4034468323828
"19";1,5;0,490843579392451;6,97845349428627;0,0639965900919852;0;0;0,446597227749821;9,71125491471947;1,35701202310538;21,2044426297539;1,35701202310538;95,7604588554881
"20";1,5;0,490843579392451;5,12409557297362;0,0858898861602793;0;0;0,440107985437095;10,1513629001566;1,7537935649113;20,419092902726;1,7537935649113;97,5142524203994
"21";1,5;0,490843579392451;4,55251785050878;0,0952688267765765;0;0;0,433713034497393;10,585075934654;1,87048367758137;19,633743175698;1,87048367758137;99,3847360979808
"22";1,5;0,490843579392451;4,35698924348289;0,0980977874750105;0;0;0,427411004838092;11,012486939492;1,77194462415748;18,0630437216422;1,77194462415748;101,156680722138
"23";1,5;0,490843579392451;1,92587059229517;0,218706567284259;0;0;0,421200546274579;11,4336874857666;2,40465600082269;10,9948961783909;2,40465600082269;103,561336722961
"24";1,5;0,490843579392451;4,29148327215909;0,0967218795733887;0;0;0,415080328240984;11,8487678140076;1,89901254301471;19,633743175698;1,89901254301471;105,460349265976
"25";1,5;0,490843579392451;3,90701323931849;0,104696097619689;0;0;0,409049039505106;12,2578168535127;1,80890713710325;17,2776939946143;1,80890713710325;107,269256403079
"26";1,5;0,490843579392451;2,36200138595372;0,170662638169761;0;0;0,403105387887494;12,6609222414002;2,68059712600974;15,7069945405584;2,68059712600974;109,949853529089
"27";1,5;0,490843579392451;2,90790943298176;0,136609515921979;0;0;0,397248099984595;13,0581703413848;2,36029741285234;17,2776939946143;2,36029741285234;112,310150941941
"28";1,5;0,490843579392451;4,36201695265622;0,0897465381599562;0;0;0,391475920895938;13,4496462622807;1,69157806189494;18,8483934486701;1,69157806189494;114,001729003836
"29";1,5;0,490843579392451;5,84177504841687;0,0660394504680254;0;0;0,385787613955273;13,835433876236;1,45219380314785;21,9897923567818;1,45219380314785;115,453922806984
"30";1,5;0,490843579392451;5,11104541618321;0,0743843831365387;0;0;0,380181960465622;14,2156158367016;1,46044387478552;19,633743175698;1,46044387478552;116,914366681769
"31";1,5;0,490843579392451;4,65046837571746;0,0805634463389676;0;0;0,37465775943818;14,5902735961398;1,58176201476842;19,633743175698;1,58176201476842;118,496128696538
